?2147467259	지정되지 않은 에러.
?1967345152	유효하지 않은 참조 번호. 지정한 참조 번호가 유효하지 않습니다.
?1967345151	유효하지 않은 프로퍼티 코드. 지정한 프로퍼티 코드가 이 참조 번호에는 유효하지 않습니다.
?1967345150	유효하지 않은 특권 ID. 지정한 특권 ID가 범위를 벗어납니다.
?1967345149	유효하지 않은 접근 타입. 지정한 접근 타입이 유효하지 않습니다.
?1967345148	유효하지 않은 인수. 지정한 인수 중 하나가 유효하지 않습니다.
?1967345147	발견되지 않은 입력. 요청하신 입력을 찾을 수 없습니다.
?375012	JSON 숫자값이 LabVIEW 숫자형 타입의 범위를 벗어납니다.
?375011	LabVIEW가 무한대 또는 무한대 부동소수 값을 읽거나 쓰는데 실패했습니다. 무한대 값에 대한 지원을 허용하려면 LabVIEW JSON을 활성화해야 합니다.
?375010	LabVIEW가 NaN 부동소수 값을 읽거나 쓰는데 실패했습니다. NaN 값에 대한 지원을 허용하려면 LabVIEW JSON을 활성화해야 합니다.
?375009	JSON 문자열이 유효하지 않은 다차원 배열을 포함합니다.
?375008	배열에 유효하지 않은 차원 수가 있습니다.
?375007	클러스터 또는 JSON 문자열이 유효하지 않은 수의 원소를 포함합니다. 엄격한 검증이 활성화된 경우, JSON 문자열의 원소 개수는 입력 클러스터의 원소 개수와 반드시 일치해야 합니다.
?375005	JSON과 LabVIEW 간의 타입 불일치.
?375004	JSON 문자열에서 경로를 찾을 수 없습니다.
?375003	JSON 문자열이 유효하지 않습니다. JSON 문자열은 UTF-8로 인코딩되고, JSON 문법을 따라야 합니다.
?375002	클러스터 원소 이름이 유효하지 않습니다. 클러스터의 각 원소는 고유한 이름을 가지거나, 빈 문자열의 경우와 같이 이름이 없어야 합니다.
?375001	JSON 루트 컨테이너는 반드시 배열 또는 클러스터이어야 합니다.
?375000	데이터 타입이 JSON으로 또는 JSON으로부터 변환될 수 없습니다. 지원되는 데이터 타입은 불리언, 숫자형, 문자열의 배열과 클러스터 및 기타 배열과 클러스터를 포함합니다.
